Date,Open,High,Low,Close,Adj Close,Volume
2022-05-23,92.779999,93.949997,92.139999,93.669998,93.669998,90300
2022-05-24,92.940002,93.099998,91.639999,92.339996,92.339996,101400
2022-05-25,89.239998,92.510002,89.110001,91.720001,91.720001,144600
2022-05-26,93.529999,95.309998,93.459999,94.830002,94.830002,197500
2022-05-27,96.099998,97.110001,96.010002,96.739998,96.739998,78700
2022-05-31,99.389999,99.769997,98.540001,99.139999,99.139999,135000
2022-06-01,99.089996,99.330002,96.750000,97.129997,97.129997,86800
2022-06-02,99.919998,101.879997,99.419998,101.879997,101.879997,150000
2022-06-03,101.330002,101.570000,99.860001,100.300003,100.300003,52200
2022-06-06,101.199997,101.370003,100.029999,100.620003,100.620003,131500
2022-06-07,97.930000,100.190002,97.830002,100.000000,100.000000,98500
2022-06-08,100.370003,100.580002,99.459999,99.650002,99.650002,50400
2022-06-09,97.160004,97.430000,95.480003,95.529999,95.529999,125900
2022-06-10,93.349998,93.550003,92.169998,92.309998,92.309998,226400
2022-06-13,89.690002,90.089996,88.180000,88.250000,88.250000,206000
2022-06-14,86.889999,87.620003,85.040001,85.959999,85.959999,235600
2022-06-15,86.949997,88.029999,85.690002,87.570000,87.570000,151100
2022-06-16,84.629997,86.150002,84.000000,85.029999,85.029999,134300
2022-06-17,86.699997,87.669998,85.800003,87.129997,87.129997,85300
2022-06-21,87.860001,88.160004,87.040001,87.330002,87.330002,151900
2022-06-22,86.910004,88.199997,86.459999,86.720001,86.720001,98500
2022-06-23,87.580002,88.540001,87.110001,88.540001,88.540001,118100
2022-06-24,89.440002,91.209999,89.440002,90.620003,90.620003,96900
2022-06-27,91.739998,91.790001,90.440002,91.040001,91.040001,262100
2022-06-28,90.029999,90.660004,88.529999,88.559998,88.559998,307400
2022-06-29,88.839996,90.160004,88.089996,88.510002,88.510002,106800
2022-06-30,87.470001,89.050003,86.599998,88.599998,88.599998,283200
2022-07-01,87.139999,88.440002,86.580002,88.279999,88.279999,132600
2022-07-05,85.190002,86.669998,85.000000,86.540001,86.540001,151600
2022-07-06,84.650002,84.709999,83.419998,84.120003,84.120003,181800
2022-07-07,85.690002,86.800003,85.000000,86.800003,86.800003,126000
2022-07-08,84.820000,85.809998,84.500000,85.540001,85.540001,65300
2022-07-11,83.050003,83.050003,81.589996,81.800003,81.800003,191000
2022-07-12,80.410004,81.199997,80.000000,80.400002,80.400002,154400
2022-07-13,79.900002,81.800003,79.309998,81.349998,81.349998,111000
2022-07-14,78.750000,79.010002,76.709999,78.250000,78.250000,264600
2022-07-15,80.010002,81.309998,79.000000,80.820000,80.820000,210300
2022-07-18,83.680000,84.220001,83.209999,83.550003,83.550003,242800
2022-07-19,87.040001,90.180000,86.910004,89.919998,89.919998,128500
2022-07-20,89.050003,89.919998,87.589996,88.059998,88.059998,91600
